strategy,n_evaluated_days,total_net_revenue,avg_net_revenue_per_day,worst_daily_revenue,p5_revenue,avg_worst_10pct_revenue,total_da_revenue,total_bm_revenue,total_dc_low_revenue,total_dc_high_revenue,total_degradation_cost,n_solve_failures
perfect_foresight,31,13177.92,425.09,17.83,37.94,31.24,-21652.23,37653.35,1060.85,697.98,4582.02,0
median,31,3162.69,102.02,-349.31,-130.88,-203.69,-859.05,2527.0,2243.1,24.16,772.51,0
current_scenarios,31,3234.52,104.34,-146.22,-71.91,-96.68,111.24,1447.41,2231.19,61.59,616.89,0
historical_error_scenarios,31,2974.65,95.96,-455.27,-131.27,-239.27,-2647.24,4670.62,1991.74,222.32,1262.78,0
q50_anchor_f05,31,3129.41,100.95,-471.18,-116.18,-234.51,-2468.96,4554.24,2048.58,229.47,1233.92,0
q50_anchor_f25,31,3032.12,97.81,-471.69,-103.72,-226.37,-2141.92,4045.54,2122.91,141.8,1136.16,0
q50_anchor_f50,31,3194.54,103.05,-376.78,-119.2,-205.06,-1405.06,3320.54,2172.89,84.64,978.45,0
cvar_l07_a09,31,3217.14,103.78,-369.06,-106.57,-194.07,-1967.16,4220.46,1866.09,290.23,1192.44,0
cvar_l05_a09,31,3400.9,109.71,-222.12,-81.22,-128.18,-1386.34,3806.17,1740.4,380.57,1139.92,0
cvar_l05_a08,31,3261.62,105.21,-288.07,-117.35,-174.26,-1290.86,3528.98,1812.66,335.02,1124.15,0
spread_scenarios,31,3842.08,123.94,-107.6,-32.44,-57.5,1438.17,602.4,2225.58,93.7,517.78,0
